root	misc	adj-to-adv	adj-to-comparative	adj-to-noun	noun-to-plural	verb-to-gerund	verb-to-past-and-participle	verb-to-third-person
unexceptional		unexceptionally		unexceptionality				
unexclusive		unexclusively						
unexcused		unexcusedly						
unexhausted		unexhaustedly						
unexpansive		unexpansively						
unexpected		unexpectedly						
unexplainable		unexplainably						
unexplained		unexplainedly						
unexpressed		unexpressedly						
unexpressible		unexpressibly						
unexpressive		unexpressively						
unexpurgated		unexpurgatedly						
unextended		unextendedly						
unfading		unfadingly						
unfailing		unfailingly						
unfair		unfairly	unfairer,unfairest					
unfaithful		unfaithfully						
unfaltering		unfalteringly						
unfamiliar		unfamiliarly		unfamiliarity				
unfashionable		unfashionably						
unfasten	unfastened,unfastening,unfastens					unfastening	unfastened	unfastens
unfastidious		unfastidiously						
unfathomable		unfathomably						
unfavorable		unfavorably						
unfavourable		unfavourably						
unfearing		unfearingly						
unfeasible		unfeasibly						
unfeeling		unfeelingly						
unfeigned		unfeignedly						
unfeminine		unfemininely		unfemininity				
unfertile				unfertility				
unfinished		unfinishedly						
unfirm		unfirmly						
unfit	unfitted	unfitly				unfitting	unfitted	unfits
unfitting		unfittingly						
unflagging		unflaggingly						
unflappable		unflappably						
unflattering		unflatteringly						
unflinching		unflinchingly						
unfold	unfolded,unfolding,unfolds					unfolding	unfolded	unfolds
unforced		unforcedly						
unforceful		unforcefully						
unforeseeable		unforeseeably						
unforeseen		unforeseenly						
unforgettable		unforgettably						
unforgivable		unforgivably						
unforgiving		unforgivingly						
unfortunate	unfortunates	unfortunately			unfortunates			
unfounded		unfoundedly						
unfree		unfreely						
unfreeze	unfreezing,unfroze,unfrozen					unfreezing	unfroze,unfrozen	unfreezes
unfriendly		unfriendlily	unfriendlier,unfriendliest	unfriendliness				
unfrock						unfrocking	unfrocked	unfrocks
unfruitful		unfruitfully						
unfunctional		unfunctionally						
unfunny		unfunnily		unfunniness				
unfurl	unfurled,unfurling,unfurls					unfurling	unfurled	unfurls
ungainly			ungainlier,ungainliest	ungainliness				
ungallant		ungallantly						
ungenerous		ungenerously						
ungentle		ungently						
ungentlemanly				ungentlemanliness				
ungird	ungirded,ungirt							
unglamorous		unglamorously						
unglamourous		unglamourously						
ungodly		ungodlily	ungodlier,ungodliest	ungodliness				
ungovernable		ungovernably						
ungraceful		ungracefully						
ungracious		ungraciously						
ungrammatical		ungrammatically		ungrammaticality				
ungrateful		ungratefully						
ungratifying		ungratifyingly						
ungregarious		ungregariously						
ungrudging		ungrudgingly						
unguarded		unguardedly						
unguent	unguents				unguents			
unguided		unguidedly						
unguis	ungues				ungues			
ungula	ungulae							
ungulate					ungulates			
unhallow						unhallowing	unhallowed	unhallows
unhand						unhanding	unhanded	unhands
unhappy		unhappily	unhappier,unhappiest	unhappiness				
unharmonious		unharmoniously						
unharness						unharnessing	unharnessed	unharnesses
unhat	unhatted							
unhazardous		unhazardously						
unhealthful		unhealthfully						
unhealthy		unhealthily	unhealthier,unhealthiest	unhealthiness				
unheeded		unheededly						
unheeding		unheedingly						
unhelpful		unhelpfully						
unhesitating		unhesitatingly						
unhinge	unhinged,unhinges,unhinging					unhinging	unhinged	unhinges
unhitch	unhitched,unhitches,unhitching					unhitching	unhitched	unhitches
unholy		unholily	unholier,unholiest	unholiness				
unhook	unhooked,unhooking,unhooks					unhooking	unhooked	unhooks
unhoped		unhopedly						
unhopeful		unhopefully						
unhorse						unhorsing	unhorsed	unhorses
unhuman		unhumanly						
unhumorous		unhumorously						
unhurried		unhurriedly						
unhygienic		unhygienically						
uni	unis							
unicameral		unicamerally						
unicellular				unicellularity				
unicorn	unicorns				unicorns			
unicycle	unicycles				unicycles			unicycles
unidentifiable		unidentifiably						
unidentified		unidentifiedly						
unidirectional		unidirectionally		unidirectionality				
unification	unifications				unifications			
unified		unifiedly						
uniform	uniforms	uniformly	uniformer,uniformest	uniformity	uniforms	uniforming	uniformed	uniforms
uniformise						uniformising	uniformised	
uniformity					uniformities			
uniformize						uniformizing	uniformized	
unify	unified,unifies,unifying					unifying	unified	unifies
unilateral		unilaterally		unilaterality				
unimaginable		unimaginably						
unimaginative		unimaginatively						
unimodal				unimodality				
unimpassioned		unimpassionedly						
unimpeachable		unimpeachably						
unimpeded		unimpededly						
unimportant		unimportantly		unimportance				
unimpressive		unimpressively						
unimproved		unimprovedly						
unincorporated		unincorporatedly						
uninfluential		uninfluentially		uninfluentiality				
uninformative		uninformatively						
uninhabitable		uninhabitably						
uninhibited		uninhibitedly						
uninquisitive		uninquisitively						
uninspiring		uninspiringly						
uninstall	uninstalled,uninstalling,uninstalls							
uninstructed		uninstructedly						
uninstructive		uninstructively						
unintelligent		unintelligently		unintelligence				
unintelligible		unintelligibly						
unintended		unintendedly						
unintentional		unintentionally		unintentionality				
uninterested		uninterestedly						
uninteresting		uninterestingly						
uninterrupted		uninterruptedly						
unintrusive		unintrusively						
uninventive		uninventively						
uninvited		uninvitedly						
uninviting		uninvitingly						
union	unions				unions			
unionise						unionising	unionised	unionises
unionism					unionisms			
unionist					unionists			
unionize	unionized,unionizes,unionizing					unionizing	unionized	unionizes
unipolar				unipolarity				
unique		uniquely	uniquer,uniquest	uniquity				
unisexual		unisexually		unisexuality				
unison					unisons			
unit	units				units			
unitarian	unitarians				unitarians			
unitary		unitarily		unitariness				
unite	united,unites,uniting					uniting	united	unites
united		unitedly						
unitize	unitizing,unitizized					unitizing	unitized	unitizes
unity					unities			
univalent				univalence				
univalve					univalves			
universal	universals	universally		universality	universals			
universalise						universalising	universalised	
universalize						universalizing	universalized	universalizes
universe					universes			
university	universities				universities			
univocal		univocally		univocality				
unjust		unjustly						
unjustifiable		unjustifiably						
unjustified		unjustifiedly						
unkempt		unkemptly						
unkennel	unkenneled,unkenneling,unkennelled							
unkind		unkindly	unkinder,unkindest					
unkindly		unkindlily	unkindlier,unkindliest	unkindliness				
unknit	unknit,unknitted,unknitting							
unknot	unknotted,unknotting					unknotting	unknotted	unknots
unknowable		unknowably						
unknowing		unknowingly						
unknown	unknowns	unknownly			unknowns			
unlace						unlacing	unlaced	unlaces
unlade	unladed,unladen,unlading					unlading	unladed	unlades
unlash						unlashing	unlashed	unlashes
unlawful		unlawfully						
unlay	unlaid							
unlearn	unlearned,unlearning,unlearns,unlearnt					unlearning	unlearnt	unlearns
unlearned		unlearnedly						
unleash	unleashed,unleashes,unleashing					unleashing	unleashed	unleashes
unlettered		unletteredly						
unlighted		unlightedly						
unlikable		unlikably						
unlike		unlikely						
unlikeable		unlikeably						
unlikely			unlikelier,unlikeliest	unlikeliness				
unlimited		unlimitedly						
unlivable		unlivably						
unlive						unliving	unlived	unlives
unliveable		unliveably						
unload	unloaded,unloading,unloads					unloading	unloaded	unloads
unlock	unlocked,unlocking,unlocks					unlocking	unlocked	unlocks
unlogical		unlogically						
unloose	unloosed,unloosen,unlooses,unloosing					unloosing	unloosed	unlooses
unloosen						unloosening	unloosened	unloosens
unlovable		unlovably						
unlovely		unlovelily	unlovelier,unloveliest	unloveliness				
unloving		unlovingly						
unlucky		unluckily	unluckier,unluckiest	unluckiness				
unmake	unmade					unmaking	unmade	unmakes
unmalicious		unmaliciously						
unman	unmanned					unmanning	unmanned	unmans
unmanageable		unmanageably						
unmanful		unmanfully						
unmanly		unmanlily	unmanlier,unmanliest	unmanliness				
unmannered		unmanneredly						
unmannerly				unmannerliness				
unmask	unmasked,unmasking,unmasks					unmasking	unmasked	unmasks
unmatchable		unmatchably						
unmeaning		unmeaningly						
unmeasurable		unmeasurably						
unmeasured		unmeasuredly						
unmechanical		unmechanically						
unmedical		unmedically						
unmedicinal		unmedicinally						
unmelodic		unmelodically						
unmelodious		unmelodiously						
unmemorable		unmemorably						
unmentionable		unmentionably			unmentionables			
unmercenary		unmercenarily		unmercenariness				
unmerciful		unmercifully						
unmerited		unmeritedly						
unmeritorious		unmeritoriously						
unmethodical		unmethodically						
unmilitary		unmilitarily		unmilitariness				
unmindful		unmindfully						
unmistakable		unmistakably						
unmitigated		unmitigatedly						
unmixed		unmixedly						
unmodifiable		unmodifiably						
unmolested		unmolestedly						
unmotivated		unmotivatedly						
unmovable		unmovably						
unmoved		unmovedly						
unmoving		unmovingly						
unmuffle	unmuffled							
unmusical		unmusically		unmusicality				
unmuzzle						unmuzzling	unmuzzled	unmuzzles
unnameable		unnameably						
unnatural		unnaturally		unnaturality				
unnavigable		unnavigably						
unnecessary		unnecessarily		unnecessariness				
unneighborly				unneighborliness				
unneighbourly				unneighbourliness				
unnerve	unnerved,unnerves,unnerving					unnerving	unnerved	unnerves
unnerving		unnervingly						
unneurotic		unneurotically						
unnoticeable		unnoticeably						
unnumberable		unnumberably						
unobjectionable		unobjectionably						
unobjective		unobjectively						
unobliging		unobligingly						
unobservant		unobservantly		unobservance				
unobserved		unobservedly						
unobstructed		unobstructedly						
unobtainable		unobtainably						
unobtrusive		unobtrusively						
unobvious		unobviously						
unoccupied		unoccupiedly						
unoffending		unoffendingly						
unofficial		unofficially						
unopen		unopenly						
unopposed		unopposedly						
unorganized		unorganizedly						
unoriginal		unoriginally		unoriginality				
unorthodox		unorthodoxly						
unostentatious		unostentatiously						
unpack	unpacked,unpacking,unpacks					unpacking	unpacked	unpacks
unpainful		unpainfully						
unpaintable		unpaintably						
unpainted		unpaintedly						
unpalatable		unpalatably						
unparalleled		unparalleledly						
unpardonable		unpardonably						
unpassable		unpassably						
unpatriotic		unpatriotically						
unpeaceable		unpeaceably						
unpeaceful		unpeacefully						
unpeg	unpegged							
unperceivable		unperceivably						
unperceived		unperceivedly						
unperceptive		unperceptively						
unperson	unpersons				unpersons			
unpersuadable		unpersuadably						
unpersuasive		unpersuasively						
unperturbed		unperturbedly						
unpick	unpicked,unpicking,unpicks					unpicking	unpicked	unpicks
unpicturesque		unpicturesquely						
unpin	unpinned					unpining,unpinning	unpinned	unpins
unpitying		unpityingly						
unplanned		unplannedly						
unplayful		unplayfully						
unpleasant		unpleasantly						
unpleasing		unpleasingly						
unplug	unplugged,unplugging,unplugs					unplugging	unplugged	unplugs
unpolitical		unpolitically						
unpolluted		unpollutedly						
unpompous		unpompously						
unpopular		unpopularly		unpopularity				
unprecedented		unprecedentedly						
unpredictable		unpredictably						
unpredictive		unpredictively						
unprejudiced		unprejudicedly						
unpremeditated		unpremeditatedly						
unprepared		unpreparedly						
unprepossessing		unprepossessingly						
unpresentable		unpresentably						
unpresidential		unpresidentially						
unpretending		unpretendingly						
unpretentious		unpretentiously						
unpreventable		unpreventably						
unprincipled		unprincipledly						
unprintable		unprintably						
unproblematic		unproblematically						
unproductive		unproductively		unproductivity				
unprofessional		unprofessionally						
unprofitable		unprofitably						
unprogressive		unprogressively						
unpromising		unpromisingly						
unprophetic		unprophetically						
unpropitious		unpropitiously						
unprotected		unprotectedly						
unprotective		unprotectively						
unprovable		unprovably						
unprovocative		unprovocatively						
unprovoked		unprovokedly						
unprovoking		unprovokingly						
unpublishable		unpublishably						
unpunctual		unpunctually		unpunctuality				
unpunished		unpunishedly						
unqualified		unqualifiedly						
unquenchable		unquenchably						
unquestionable		unquestionably						
unquestioned		unquestionedly						
unquestioning		unquestioningly						
unquiet		unquietly	unquieter,unquietest					
unravel	unraveled,unraveling,unravelled,unravelling,unravels					unraveling,unravelling	unravelled	unravels
unreachable		unreachably						
unreadable		unreadably						
unready		unreadily	unreadier,unreadiest	unreadiness				
unreal		unreally		unreality				
unrealistic		unrealistically						
unreality	unrealities				unrealities			
unreason					unreasons			
unreasonable		unreasonably						
unreasoning		unreasoningly						
unreassuring		unreassuringly						
unreceptive		unreceptively		unreceptivity				
unrecognisable		unrecognisably						
unrecognizable		unrecognizably						
unreconcilable		unreconcilably						
unrecoverable		unrecoverably						
unredeemable		unredeemably						
unredeemed		unredeemedly						
unreel						unreeling	unreeled	unreels
unreeve	unreeved,unrove							
unrefined		unrefinedly						
unreflective		unreflectively						
unregenerate		unregenerately						
unregretful		unregretfully						
unrelenting		unrelentingly						
unreliable		unreliably						
unrelieved		unrelievedly						
unremitting		unremittingly						
unremorseful		unremorsefully						
unremunerative		unremuneratively						
unrepentant		unrepentantly		unrepentance				
unreported		unreportedly						
unrepresentative		unrepresentatively						
unrequited		unrequitedly						
unresentful		unresentfully						
unreserved		unreservedly						
unresistant		unresistantly		unresistance				
unresisting		unresistingly						
unresolved		unresolvedly						
unrespectable		unrespectably						
unresponsive		unresponsively						
unrest					unrests			
unrestrained		unrestrainedly						
unrestricted		unrestrictedly						
unrestrictive		unrestrictively						
unretentive		unretentively						
unrewarded		unrewardedly						
unrewarding		unrewardingly						
unrhetorical		unrhetorically						
unrhythmic								
unrhythmical								
unrig	unrigged							
unrighteous		unrighteously						
unrip	unripped							
unripe		unripely	unriper,unripest					
unrivaled		unrivaledly						
unrivalled		unrivalledly						
unroll	unrolled,unrolling,unrolls					unrolling	unrolled	unrolls
unromantic		unromantically						
unruly		unrulily	unrulier,unruliest	unruliness				
unsaddle						unsaddling	unsaddled	unsaddles
unsafe		unsafely	unsafer,unsafest					
unsalable		unsalably						
unsaleable		unsaleably						
unsanctified		unsanctifiedly						
unsanctify						unsanctifying	unsanctified	
unsanitary				unsanitariness				
unsarcastic		unsarcastically						
unsated		unsatedly						
unsatiable		unsatiably						
unsatisfactory		unsatisfactorily		unsatisfactoriness				
unsatisfiable		unsatisfiably						
unsatisfied		unsatisfiedly						
unsatisfying		unsatisfyingly						
unsaturated		unsaturatedly						
unsavory		unsavorily		unsavoriness				
unsavoury		unsavourily		unsavouriness				
unsay	unsaid					unsaying	unsaid	unsays
unscalable		unscalably						
unscathed		unscathedly						
unscholarly				unscholarliness				
unschooled		unschooledly						
unscientific		unscientifically						
unscramble	unscrambled,unscrambles,unscrambling					unscrambling	unscrambled	unscrambles
unscrew	unscrewed,unscrewing,unscrews					unscrewing	unscrewed	unscrews
unscrupulous		unscrupulously						
unseal						unsealing	unsealed	unseals
unseasonable		unseasonably						
unseat	unseated,unseating,unseats					unseating	unseated	unseats
unseaworthy				unseaworthiness				
unsecured		unsecuredly						
unseductive		unseductively						
unseeing		unseeingly						
unseemly		unseemlily	unseemlier,unseemliest	unseemliness				
unselfconscious		unselfconsciously						
unselfish		unselfishly						
unsensational		unsensationally						
unsentimental		unsentimentally		unsentimentality				
unserviceable		unserviceably						
unsettle	unsettled,unsettles,unsettling					unsettling	unsettled	unsettles
unsex						unsexing	unsexed	
unshakable		unshakably						
unshaken		unshakenly						
unshapely				unshapeliness				
unshapen		unshapenly						
unshaved		unshavedly						
unshaven		unshavenly						
unsheathe						unsheathing	unsheathed	unsheathes
unship	unshipped							
unshrinking		unshrinkingly						
unsighted		unsightedly						
unsightly			unsightlier,unsightliest	unsightliness				
unskilled		unskilledly						
unskillful		unskillfully						
unsleeping		unsleepingly						
unsling	unslung							
unsmiling		unsmilingly						
unsmooth		unsmoothly						
unsnap	unsnapped							
unsnarl						unsnarling	unsnarled	unsnarls
unsociable		unsociably						
unsocial		unsocially		unsociality				
unsold			unsolder					
unsolder						unsoldering	unsoldered	unsolders
unsolicited		unsolicitedly						
unsoluble		unsolubly						
unsolvable		unsolvably						
unsophisticated		unsophisticatedly						
unsound		unsoundly	unsounder,unsoundest					
unsparing		unsparingly						
unspeak	unspoke,unspoken							
unspeakable		unspeakably						
unspecific		unspecifically						
unspecified		unspecifiedly						
unspectacular		unspectacularly						
unspell						unspelling	unspelled	
unsphere	unsphered							
unspoken		unspokenly						
unspotted		unspottedly						
unstable		unstably	unstabler,unstablest					
unstained		unstainedly						
unstaple							unstapled	
unsteady		unsteadily	unsteadier,unsteadiest	unsteadiness				
unstep	unstepped							
unstimulating		unstimulatingly						
unstinted		unstintedly						
unstinting		unstintingly						
unstop	unstopped							
unstoppable		unstoppably						
unstrain							unstrained	
unstrap	unstrapped					unstrapping	unstrapped	unstraps
unstressed		unstressedly						
unstring	unstrung					unstringing	unstrung	unstrings
unstudious		unstudiously						
unstuff						unstuffing	unstuffed	
unstylish		unstylishly						
unsubduable		unsubduably						
unsubdued		unsubduedly						
unsubmissive		unsubmissively						
unsubscribe	unsubscribed,unsubscribes,unsubscribing							
unsubstantial		unsubstantially		unsubstantiality				
unsubtle		unsubtly						
unsuccessful		unsuccessfully						
unsufferable		unsufferably						
unsuitable		unsuitably						
unsullied		unsulliedly						
unsupervised		unsupervisedly						
unsupportable		unsupportably						
unsupported		unsupportedly						
unsure		unsurely						
unsurmountable		unsurmountably						
unsurpassable		unsurpassably						
unsurpassed		unsurpassedly						
unsurprising		unsurprisingly						
unsusceptible		unsusceptibly						
unsuspected		unsuspectedly						
unsuspecting		unsuspectingly						
unsuspicious		unsuspiciously						
unswear	unswore,unsworn							
unsweet		unsweetly						
unswerving		unswervingly						
unsymbolic		unsymbolically						
unsymmetric								
unsymmetrical								
unsympathetic		unsympathetically						
unsympathising		unsympathisingly						
unsympathizing		unsympathizingly						
unsynchronous		unsynchronously						
unsystematic		unsystematically						
untactful		untactfully						
untainted		untaintedly						
untamed		untamedly						
untangle	untangled,untangles,untangling					untangling	untangled	untangles
unteach	untaught					unteaching	untaught	unteaches
untechnical		untechnically						
untellable		untellably						
untempting		untemptingly						
untenable		untenably						
unthankful		unthankfully						
unthaw						unthawing	unthawed	
untheatrical		untheatrically						
unthematic		unthematically						
unthinkable		unthinkably						
unthinking		unthinkingly						
unthoughtful		unthoughtfully						
unthreatening		unthreateningly						
untidy		untidily	untidier,untidiest	untidiness				
untie	untied,untieing,unties,untying					untieing,untiing	untied	unties
untimely			untimelier,untimeliest	untimeliness				
untired		untiredly						
untiring		untiringly						
untouchable	untouchables	untouchably			untouchables			
untoward		untowardly						
untraceable		untraceably						
untrained		untrainedly						
untranslatable		untranslatably						
untransmutable		untransmutably						
untread	untrod,untrodden							
untroubled		untroubledly						
untrue			untruer,untruest					
untrustworthy		untrustworthily		untrustworthiness				
untrusty				untrustiness				
untruth	untruths				untruths			
untruthful		untruthfully						
untune						untuning	untuned	untunes
untuneful		untunefully						
untutored		untutoredly						
untwine						untwining	untwined	untwines
untwist						untwisting	untwisted	untwists
untypical		untypically						
unusable		unusably						
unuseable		unuseably						
unusual		unusually		unusuality				
unutterable		unutterably						
unvaried		unvariedly						
unvarnished		unvarnishedly						
unvarying		unvaryingly						
unveil	unveiled,unveiling,unveils					unveiling	unveiled	unveils
unveiled		unveiledly						
unveiling	unveilings							
unverifiable		unverifiably						
unversed		unversedly						
unvigilant		unvigilantly						
unvindictive		unvindictively						
unvoluntary		unvoluntarily		unvoluntariness				
unwarrantable		unwarrantably						
unwarranted		unwarrantedly						
unwary		unwarily	unwarier,unwariest	unwariness				
unwatchful		unwatchfully						
unwavering		unwaveringly						
unwearable		unwearably						
unwearied		unweariedly						
unweary		unwearily		unweariness				
unwearying		unwearyingly						
unweave	unwove,unwoven					unweaving		unweaves
unwedded		unweddedly						
unwelcome		unwelcomely						
unwholesome		unwholesomely						
unwieldy		unwieldily	unwieldier,unwieldiest	unwieldiness				
unwilling		unwillingly						
unwind	unwinding,unwinds,unwound					unwinding	unwound	unwinds
unwire							unwired	
unwise		unwisely	unwiser,unwisest					
unwitting		unwittingly						
unwomanly				unwomanliness				
unwonted		unwontedly						
unworkable		unworkably						
unworldly				unworldliness				
unworried		unworriedly						
unworthy		unworthily	unworthier,unworthiest	unworthiness				
unwrap	unwrapped,unwrapping,unwraps					unwrapping	unwrapped	unwraps
unyielding		unyieldingly						
unyoke						unyoking	unyoked	unyokes
unzip	unzipped,unzipping,unzips					unzipping	unzipped	unzips
up	upped,upping,ups		upper			upping	upped	ups
upbeat					upbeats			
upbraid	upbraided,upbraiding,upbraids					upbraiding	upbraided	upbraids
upbraider					upbraiders			
upbuild	upbuilding,upbuilt							
upc	upcs							
upcast					upcasts			
upchuck	upchucked,upchucking,upchucks					upchucking	upchucked	upchucks
update	updated,updates,updating				updates	updating	updated	updates
updo	updos							
updraft					updrafts			
upend	upended,upending,upends					upending	upended	upends
upgrade	upgraded,upgrades,upgrading				upgrades	upgrading	upgraded	upgrades
upheaval	upheavals				upheavals			
upheave	upheaved,uphove					upheaving	uphove	upheaves
uphill					uphills			
uphold	upheld,upholding,upholds					upholding	upheld	upholds
upholder					upholders			
upholster	upholstered,upholstering,upholsters					upholstering	upholstered	upholsters
upholsterer	upholsterers				upholsterers			
upholstery					upholsteries			
upkeep					upkeeps			
upland	uplands		uplander		uplands			
uplift	uplifted,uplifting,uplifts				uplifts	uplifting	uplifted	uplifts
uplifted		upliftedly						
uplink	uplinks				uplinks			
upload	uploaded,uploading,uploads					uploading	uploaded	uploads
upper	uppers		upperer,upperest		uppers			
upperclassman	upperclassmen							
uppercut	uppercuts				uppercuts			
uppish		uppishly						
upraise						upraising	upraised	upraises
upright	uprights	uprightly			uprights			
uprise	uprisen,uprose					uprising	uprisen,uprose	uprises
uprising	uprisings				uprisings			
uproar					uproars			
uproarious		uproariously						
uproot	uprooted,uprooting,uproots					uprooting	uprooted	uproots
uprooter					uprooters			
upset	upset,upsets,upsetting		upsetter		upsets	upsetting	upsetted	upsets
upsetter					upsetters			
upsetting		upsettingly						
upshot					upshots			
upside					upsides			
upsilon					upsilons			
upspring	upsprang,upsprung							
upstage	upstaged,upstages,upstaging				upstages	upstaging	upstaged	upstages
upstanding		upstandingly						
upstart	upstarts				upstarts			
upstroke					upstrokes			
upsurge					upsurges			
upswell	upswelled,upswollen							
upswing	upswings,upswung							
uptake					uptakes			
upthrow					upthrows			
upthrust	upthrusts				upthrusts			
uptime					uptimes			
uptown			uptowner		uptowns			
upturn					upturns			
upward		upwardly						
ur					urs			
uracil					uracils			
uraemia					uraemias			
uraeus	uraei							
uranalysis					uranalyses			
uranium					uraniums			
uranology					uranologies			
uranyl					uranyls			
urate					urates			
urban								
urbane		urbanely						
urbanise						urbanising	urbanised	urbanises
urbanity					urbanities			
urbanize						urbanizing	urbanized	urbanizes
urchin	urchins				urchins			
urd					urds			
urea					ureas			
urease					ureases			
uredinium					uredinia			
uredium					uncidia			
uredo					uredines			
uredosorus					uredosori			
uremia					uremias			
ureter					ureters			
ureterostomy	ureterostomies							
urethane					urethanes			
urethra	urethrae,urethras				urethrae			
urge	urged,urges,urging				urges	urging	urged	urges
urgency					urgencies			
urgent		urgently		urgence				
urging					urgings			
urinal	urinals				urinals			
urinalysis	urinalyses				urinalyses			
urinate	urinated,urinates,urinating					urinating	urinated	urinates
urine					urines			
url	urls							
urn	urns				urns			
urochord					urochords			
urodele					urodeles			
urolith					uroliths			
urologist					urologists			
urology					urologies			
uropygium	uropygia,uropygiums							
urticate						urticating	urticated	urticates
uruguayan					uruguayans			
urus					uri,uruses			
us								
usable		usably						
usage	usages				usages			
usance					usances			
usb	usbs							
use	used,using					using	used	
useable		useably						
used		usedly						
useful		usefully						
useless		uselessly						
user	users				users			
userid	userids							
username	usernames							
usher	ushered,ushering,ushers				ushers	ushering	ushered	ushers
usherette	usherettes				usherettes			
using					usings			
usnea					usneas			
ustad	ustads							
usual		usually						
usufruct					usufructs			
usufructuary					usufructuaries			
usurer	usurers				usurers			
usurious		usuriously						
usurp	usurped,usurping,usurps					usurping	usurped	usurps
usurpation					usurpations			
usurper					usurpers			
usury					usuries			
ut					uts			
uta					utas			
utahan					utahans			
ute	utes							
utensil	utensils				utensils			
uterus	uteri,uteruses				uteri			
utile				utility				
utilise						utilising	utilised	utilises
utiliser					utilisers			
utilitarian		utilitarianly			utilitarians			
utility	utilities				utilities			
utilization					utilizations			
utilize	utilized,utilizes,utilizing					utilizing	utilized	utilizes
utilizer					utilizers			
utmost					utmosts			
utopia	utopias				utopias			
utopian					utopians			
utricle					utricles			
utriculus					utriculi			
utter	uttered,uttering,utters	utterly	utterer,utterest	utterance		uttering	uttered	utters
utterance	utterances				utterances			
utterer					utterers			
uvea					uveas			
uveitis					uveitises			
uvula	uvulae,uvulas				uvulae			
uvular	uvulars	uvularly						
uvulitis					uvulitises			
uxorial		uxorially		uxoriality				
uxorious		uxoriously						
uzi	uzis							
vacancy	vacancies				vacancies			
vacant		vacantly		vacance				
vacate	vacated,vacates,vacating					vacating	vacated	vacates
vacation	vacationed,vacationing,vacations				vacations	vacationing	vacationed	vacations
vacationer					vacationers			
vacationist					vacationists			
vaccina					vaccinas			
vaccinate	vaccinated,vaccinates,vaccinating					vaccinating	vaccinated	vaccinates
vaccination	vaccinations				vaccinations			
vaccinator					vaccinators			
vaccine	vaccines				vaccines			
vaccinia					vaccinias			
vacillate	vacillated,vacillates,vacillating					vacillating	vacillated	vacillates
vacillating		vacillatingly						
vacillation	vacillations				vacillations			
vacillator					vacillators			
vacuity					vacuities			
vacuole					vacuoles			
vacuous		vacuously						
vacuum	vacuumed,vacuuming,vacuums				vacua	vacuuming	vacuumed	vacuums
vagabond	vagabonds				vagabonds	vagabonding	vagabonded	vagabonds
vagal		vagally						
vagary					vagaries			
vagile				vagility				
vagina	vaginae,vaginas				vaginae			
vaginal		vaginally						
vagotomy	vagotomies							
vagrancy					vagrancies			
vagrant	vagrants	vagrantly		vagrance	vagrants			
vague		vaguely	vaguer,vaguest	vaguity				
vagus	vagi				vagi			
vain		vainly	vainer,vainest					
vainglorious		vaingloriously						
valance	valances				valances			
vale	vales				vales			
valediction	valedictions				valedictions			
valedictorian	valedictorians				valedictorians			
valedictory		valedictorily			valedictories			
valence					valences			
valencia					valencias			
valency					valencies			
valent				valence				
valentine	valentines				valentines			
valerian					valerians			
valet	valets				valets	valeting	valeted	valets
valetudinarian					valetudinarians			
valetudinary				valetudinariness				
valgus					valguses			
valiance					valiances			
valiancy					valiancies			
valiant		valiantly		valiance				
valid		validly		validity				
validate	validated,validates,validating					validating	validated	validates
validation					validations			
validity					validities			
valine					valines			
valise					valises			
valium	valiums							
valkyrie					valkyries			
vallecula	valleculae				valleculae			
valley	valleys				valleys			
vallum	valla							
valor					valors			
valorous		valorously						
valour					valours			
valse					valses			
valuable		valuably			valuables			
valuate	valuated,valuating					valuating	valuated	valuates
valuation	valuations				valuations			
valuator					valuators			
value	valued,values,valuing					valuing	valued	values
valuer					valuers			
valve	valves				valves			
valvelet					valvelets			
valvula	valvulae							
valvule					valvules			
vambrace					vambraces			
vamoose						vamoosing	vamoosed	vamooses
vamp	vamps				vamps	vamping	vamped	vamps
vamper					vampers			
vampire	vampires				vampires			
van	vans				vans			
vanadate					vanadates			
vanadium					vanadiums			
vanda					vandas			
vandal	vandals				vandals			
vandalize	vandalized,vandalizes,vandalizing,vandalizized					vandalizing	vandalized	vandalizes
vandyke					vandykes			
vane	vanes				vanes			
vanguard					vanguards			
vanilla					vanillas			
vanillin					vanillins			
vanish	vanished,vanishes,vanishing					vanishing	vanished	vanishes
vanisher					vanishers			
vanity					vanities			
vanquish	vanquished,vanquishes,vanquishing					vanquishing	vanquished	vanquishes
vanquisher					vanquishers			
vantage					vantages			
vapid		vapidly		vapidity				
vapidity					vapidities			
vapor	vapors							
vaporarium	vaporaria,vaporariums							
vaporetto	vaporetti,vaporettos				vaporetti			
vaporing					vaporings			
vaporise						vaporising	vaporised	vaporises
vaporize	vaporized,vaporizes,vaporizing					vaporizing	vaporized	vaporizes
vaporizer					vaporizers			
vaporous		vaporously						
vapourous		vapourously						
vaquero	vaqueros				vaqueros			
vara					varas			
variability					variabilities			
variable	variables	variably			variables			
variance	variances				variances			
variant	variants	variantly		variance	variants			
variate					variates			
variation	variations				variations			
varicose				varicosity				
varicosity					varicosities			
varicotomy	varicotomies							
varied		variedly						
variegate						variegating	variegated	variegates
variegation					variegations			
varietal					varietals			
variety	varieties				varieties			
variform		variformly		variformity				
variola					variolas			
variorum					variorums			
various		variously						
varix	varices				varices			
varlet	varlets				varlets			
varment					varments			
varmint	varmints				varmints			
varna					varnas			
